quick3_code,candidates
lr,帖蛄蚵蛔蛤蛞裙裕蜘蜩裯蝸褡蟾帢牊蛁蛅蚼袑袧蛣袺袼袷袽蜛裾幨螛螗褣蟢襜
ls,蚱螃甹蚷蚴袎牓蟧
lt,盅盎盡蜢蟒襤蠱帡蛢裋螘蝹褞蠦衋
lu,儿胤袍帽幌蛻蜆覜蜿蜷褫蟯蠅襯冘帊帎帨蚖蚆蚅蚘蚝衴艴蛫裗裞蜣蜪蜺裷裺氀蝷蝞蝐螔褼襓鬩鬮
lv,虻婁帳裴褐褪螻褸蠟婓蛝裉蜋蜄裖蜲裱蝘蝛蝎褗螁餥蠉襛蠰蠳
lw,由袖幅蛐幡蝠蟠襠丳蚰蝀蝤褔蟷蠝襴
lx,肅幍蜭蠐蠨
ly,非褂蚸裶蝳
m,一
ma,百珀厝晉殉豬醋曆珣朁殙琩皕瑎碏酯璔醏璯磳霫
mb,丙再玥珮砸脣硝瑚瑞硼厲璃霄礪霸襾珃珛琄琋瑀碃碖碲碥豨酺酳殢璊碻霈璚磞磭醐醑礄瓀醨鬵瓋礝醹瓗
mc,頁貢頂琪項碰碘賈頑頊瑣碩璜磧頸頭磺殯願礦贗瓚珙珼厧琠頇殞瑱銎殥磏磌豏霟璸璵霣殰礗豶霬礥礩顠礸
md,于厚栗殊珠硃琳琛粟酥碟酵酴醇臻霖璨礫玗矷孬珔酏殍琈厤琤硱硢碄碅碀雽瑧瑮璅瑹磔磉醂霂璪磼磲醚櫫瓅醾
me,汞歿泵玻夏破球豉瑕碌酸憂豭璦霞覆瓊醱砅砐砓砯殏酘殔琡琭瑗瑔碫碬醊醁醙瓁夒鬷靆靉
mf,不示原烈焉票瑪碳碼鴉璟礁醮鵡醺烎琮琰鳱殦鳽鳿鴀鴈磩磥豲鮤鴯鴷燹醥鵛礤鶝礯鷊鷅瓙醼鷣鷢鸍黶鸝
mg,王至玨型班珪堊理斑雁雅碓璀確霆霍壓霪霾厔厘垔砫珵珽硅确臸雃酲醀璡磪醛礭瓘靃
mh,牙形珍砂砌瑟殤厂厊歾玡玢厖殄珌砑砏耏珶酚硥雰瑒瑏覅雺彯碭璆磣磟璱醪霦鬺
mi,云歹玉瓦矽玲耐虺砝辱酌戛殘琺雲蜃零瑰磁魂璣磚融磯醜璽飄蠶魘玊玓玹砡砪砱酎珴琖硪蛩硹戩瑵蝁酹瑼磈醆璕磠霐礒蟨礡霨礣蠠霵釂
mj,干平砰覃琿碎碑璋醉鞏霹玕玤玝矸厗厙玶珥酐硨璉豍殫璭磹磾璻礔醰鞷醳
mk,天攻更玟玫政殃致敔酗敢硬雯瑛厭爾霰釅奀攷殀玦耎珓珚琝瑍雵殠碤璈磎磝磢璥礅豯霙礉璷覈霺瓛礹
ml,而邢邪斫面砷鬲琊瑯酬需酈靨丌亓邗邘邛玔邧玠邴邳珅玾珋砎郅郖郠郚奡鄄鄏鄑鄠鄢鄾厴霩酃
mm,二三工互五丕正亙酉亞武亟歪砥砠雪殖甦酣硿瑾磋歷翮醒殲靂靈厎巠玒矼殂玵珇珝砵豇厜殌硜殛瑄瑆碔雸瑳碴硾殣殭翲醝礓靋
mn,丁刊列刑到酊副琍硎琴剽瑜劂甄亍刓玎瓨矻剄剢珩砨砩琌豟瑐碠霒霠
mo,仄巫玖豕兩砍砭厥琢歌璞瓢殮璩礎礙豖砆珧豗殎琁珿覂硤歅瑑碇豥跫豩雿璇瑽醍璲豵霥礞醭醵
mp,死玳恐惡琵琨愿麗瓏忑玭矺砒恧玼砣酡璁憨麉醷靇釃
mq,甭璘磷肂珜珒硉琫揅瑋
mr,可石吾否殆玷哥唇珞砧琯琦碉酪酩瑭碧酷磊噩霑醣露珂珈玿珆珨砢砳珸琀珺硈硌硐殕琚琱琣硞酤酟酠瑊碚碕酮厬瑢瑲碢磍磄醅霅璐礂霘霝磿醧醽
ms,丐功巧勁砟雩磅勵霧万丏厏琇臹酢雱磡醡
mt,弄豆盂珊盃研磕磴醞醴幵玴殈砬豜殟磑殪璒醓豱醢醠璶瓂醯礛豷霯
mu,兀元厄玩琉砲配現硫琥琶硯瑁碗電雹瑤豌醃霓靦霜璿兀旡厒矹卼珫玸珖珗殑硊豝酖酕殗琬巰瑂碙覝覡磃醄殧虣磽黿礵霿
mv,辰耍要琅裂碣碾震霎環餮瓖瓔饜釀靄匚姴硍硠硭豤碪碨霋嬮霢醲霮
mw,西瑙雷霤硒璠璫磻礌礑瓃礧
mx,霽璾
my,下雨霉霏玬砃厞珘琲碡
n,弓
na,陌階魯鯧鰭陼矠觰鮨鰆鰼鰽鱠鱨
nb,胥隋隅隔隨孺彌鮪鯖陃陏弰脀弸陯魶隬鯆鮹鯞鰅鰗鰝鰤鬻鱊鱎觿鱱
nc,小負隕預夤隒彉隤頠頲鍪顄鯕鐆鰜鰿鱮
nd,子孕弛柔桀除穌孖阤陎陱楘鮇檃鮢鮽鯙鯚鰈鰇觻鰷鱢鱳
ne,及阪函陂陵陬發鰥觼鰻夃氶弢癹觙觩觨敻魬鯄鯪鯫鰒彏鱍
nf,灸孫魚煞隙際燄鴛鯀騖鯨鰍鶸鰾尕烝孮弶鳵駌隰鮛鵵騭鶔鶩鰶觾鷸
ng,丑廷角陛陞陸隍墜墮鮭鯉堥隉隀觟墬鯥鰉鰹鱹
nh,矛陽觴陟魛魦魵鮅鯓
ni,夕弘多兔弦虱附強蛋陰蝨毚蟹觸弣阹戣戤触隗蜑魡蝥魼鮒蟊螴鰣瓕鱄鱒鱘鱴
nj,阡弭陣斛陴障彈鰱阠彃鞪觶鱆
nk,又孜奐癸鮫觖陾隞敶魰隩鯁鯸鰬
nl,弔引鄧鯽觓陑郔鄈觫鼐魻鮞酁
nm,孑丞延阻弱陘隆陲彊疆阯弤阺弳孲翗觝觛隓隡魟魱魾魽鰨鱈鱋鱣
nn,了予阬矜弼粥凳阣陊隃劀魧甔劖
no,久孓欠疋孤弧承孩飛陡陝象隊隄豫隧險鱖陔陜欿觚鮂鮡鯠鯷鱁鱌
np,陀急怨恿隱隴鰓阰愻魠魤鮀隳鯤鯰鱺
nq,舛甬建降解鮮鱗丮觲鰎
nr,名阿夠陪詹鯛鱔鱷弨阽陭矞觡彄觭鮐魺鮕鮈鮚鮦鮥鮯謽鯃鮶鯦鰔鰫鱵
ns,乃防勇勉觔務阞阼陓魴鮓鰳
nt,阱孟盈登隘鱸盄隑孻鱧
nu,乙孔危色免阮院疏陶魷鮑龜夗阢弝阨阭孢巹眢觥觤瞀嶞觬隢魨氄郺鮠鯇鮿鮵鮸鯢鰩鱙鱦
nv,限陋張飧妴婺隇隈彋鯜鰋鱞
nw,陳鯔鰡鱕
nx,陷卍隮鱐鱭
ny,外陫鯡
o,人
oa,伯佰借倡偺偕智會僧僭儈儲侚偣偆傮僣矰韽龤
ob,內佈佩佾侑俑俏倩倆倫偶偏脩備傭禽飾僑僩儒餚矯伂仴氝俙倗偝偁偊偳傋氰傰僪舖餔餬龠
oc,兵供俱偵貨貪貸債傾賃僎領價頜儐頷償仈伿倛倎偩傔傎僋僨僓儥鎥饙饌饋儹顩饡
od,仔他休余侏保俘氣條傑集餘柋栠偞偨僳僝餑橆罅餼饓龢
oe,伋侵俊隻假氯飯傻優雙餿饅伎汆俅复倰俶夎敆傣僈僾餕餟儤瀪矱
of,伙你係偽氮焦無絛僚鴒繁鴿黛鯈鶴儻尒伓佘倞倓倷倧烋缹偢焂傃傌傿僄傺傶煲僬儰僸鳹儑餤鴙儦鵂鵀儵鵨鶬儽鷡鷦鸙
og,仕任全住坐佳佺隹俚堡飪催雉僮僱儸罐侄侳俇侹倠偓偅偟傕矬雂僿雓儓雔餭饈儺糴讎雥
oh,入乒份氛修傷僇伢佖飶儩餳饖
oi,付令仞乓伐伶每侍俄俯傅傀傳蝕儀餓儔餞餽儳饑饞伀伝佉伭俬俴倯偫偑僔戧餺
oj,什午仟倖俾斜傘餌僻罈仵伻佴倅倬隼偮傇傽僆僤鞗餫
ok,仗矢伊伏攸使侯便俟倣候氤缺做倏敏敘傚傲餃斂儼佒佼俁矨偰偀傒敜飫傸餀儆儌餪餱饃
ol,介仲仰伸卸命邱郃偭氕价伄伒氘氚侕氠矧鄇鄃飹鄦餗鄶
om,仁丘伍企佐但低俎缸倥值氫缽翎氬翕僅僵饉仨仜仩仝体伾俓倵倕傞傝翛儃韱儮饘
on,乞仃仇今伉佇佛例侈俐俞氟倒們飢停側偷創舒劍劊仉气仡仱刉佤侀侇侺剉倳瓴飣劁儜儚甒餰
oo,伕肉似佚佻俠促氦傢飲僕像儉歙伬侅佽肏倢欱偍傱僉歈僛跾儊儗餩歛餯饛
op,化代仳佗佬念悠您傯愈億憊餛儷伈侘佌侂忥怹怤倱屔恁偲悆飥僁僽儢儱矲龕
oq,件年伴佣佯俸拿氧偉健舞侔牮僯犨
or,合何估佑伽伺佔佝含知舍信侶俗侷倌倍倚倨個倘倉偌售傖飼飴僖餉館佁佶侗佪佸侞佫佮俉俖倜啎傛缿傴餂餇儋樖饇饎
os,仍仿氖作矩傍飭雋仂佢侉俜僗
ot,位併侖盒短氳餅儘伳侐弇偋缾餖盦饁饐罏
ou,仙缶侃岱岳倦俺倔倪飩毓飽僥覦饒仚屳优伔伅佡氙佹侁俋俔侻俛倇俷峹偗氪傜傂僊嵞毹僦僶儭
ov,佞依食倀倭氨偃偎偯袋矮儂餒餵佷侒姇俍侲俀俵衾偡偠偈僂儇餧儠餲儴饟
ow,佃儅儡餾氥偪偤畣酓畬僠
ox,儕餡偛
oy,仆侮俳佧佟侜氡
p,心
pa,旨旬怕皆惜憎曶恉恂惛愔慒慴憯
pb,怖匍悄情惰惴慵懦怲悀悁悕惀惼愶愲慲憰憪憡憍
pc,怵頃慎頓慣憤穎懶怬惍貰慊慏愩憒潁熲顈懭懫懻
pd,也悖悸惇慄愾懍匊恘悃悇粊惏惈惵惸憟懆橤
pe,愎慷慢皺忮忣怓悛惙惾愋愯懮懪戄
pf,恢愀憬憔憮怀炰悰惔惊愫慓駂憭鴇鴝繠鵴鶛鶵戃
pg,忸怪惟惶雊憧懂雛懼坒恇恮悝悜慳慛墯懽觺
ph,切勿必悌惕慘忉怭毖愓憀憉
pi,勺勾忖忪怯恃愧怜惤慅慱憳懤懱
pj,悍悴悻悼憚懾忏匉忤怦惲愅慞憛懌
pk,匆匈快怏憫懊忕忷恔恟悷慀慔慡憿懨
pl,悚鄒慚忡忻邲斪郇愐
pm,勻怔性怛恆惺懺怚怌悾愃慬慖恒
pn,刎刨怫惻愉乜勼忔忴恞恀匑懧懰
po,愜疑忺怢恌欨惿懅憸懥懞
pp,比忽怩惚憶憾忯怋恅悿惃惢憓
pq,肄憐懈怑甮
pr,句怡恰恬恫恪悟惦惆愴怙怊怗怐恛恄恦訇悎悺惝匒愘慥慪憺
ps,劬愣愕慟怍怮勓勩
pt,世恤慍愷恲悈
pu,屯包忱恍悅芻惋慨慌懵忨忳匋怳怉毞匎悒悗惓覕愮憱憢憴
pv,忙恨悽悵惘愒懷怴悢袃愖愝愄慺懁懩懹
pw,甸匐惱怞恓愊慉
px,慆懠
py,悔忭悱
q,手
qa,拍指春措揩替摺抇晢揝搘搢摍撦摿耤擼
qb,青捎捕捐掃掄揣揹搞搆摘耦擒撾攜抈抪抩拺捅掯掮掤掅揥揟揙搠搹搰搚摛撊撟撱耩擩擿
qc,扒拱責損撰擴擷捇掽捵掑摃搷搛摜撗撌銴頛擯攢
qd,耒拖捆秦探掙採掬揉搽操靜扜扡拵耔挬捊捈栔捰揲揓搮搡摷槼擛擽攗
qe,技扳投披泰授援搬搜撥撮擭擾攫扱捄捘洯掫掇捸摋耰
qf,素掠捺揀揪摭撩撫撚擦抔拻掞焎撝絜搣摀搎摽摵摞鳺攃鶄攩攥纛
qg,扭拄拴挂挺挫捱推握摧撞擁擢攤挃拰捔捚揘揰搉觢撋攉攡
qh,抄扮拐揚摻抮捗耖摎摥
qi,找拇拎持毒耘搏搔蜇撙耨攙蠢扠扚抎抾拊捋蛪摶撠撏擉擣攭
qj,丰抖抹抨捍掉揖揮摔撢輦擇攆攝扞扦挕捙捀捽捭揇搟摓摙撣擗
qk,抉抆拔契奏挨掖捩揆揍換撇撤摸撒擻扙扷抰挍挭捑揳撖擏撽擙擫
ql,折抑邦押挪撕擲扴邞抻挋揤郬揶摲擳擤鄻
qm,扛扯抵拭拯捏彗控捶搓摑擅拑抯挳掝掗挻揎揯搦搨搧攕
qn,打抗抒拂挖捌捫擰扢扲拸拶捯揨揃揄攍
qo,夫扶抓挑挾捉捷掀提撲撳據撿靛擬扻抶抸掟掾摦摐踅撅擨攓
qp,托批抿拽捻慧撼擺攏扺抳挓恝悊掭掍揌惷摁摝摠憃攄攇攦
qq,奉拌挈捧撐撻掱掰揵搿摨
qr,扣招拓拈拘抬拮括拾哲捂捨耜搪搭搶誓擔擱挏挌砉挶捃捁掊掂掎据耞耛揈硩搳搥摳撂撘
qs,扔拒拋拗拷勣搾撈擄扐挎拹耟搒耡摴耪
qt,拉拚拼耕摒抴揜搤搕搵撜攎
qu,扎把扼拙抱挽耙耗捲掘掩掏規搖搗撓撬齧攪攬扤扥抌抏扰抁扽抭捖挹挩挸捥掜摡揗搊搋摬摫靘靚
qv,表按振接揭摟攘拫挀挔挼捼掁揠揕揋搌裚嫢擖擐擃耬擸攁攐攌攖攛攮
qw,抽描播擋擂攔揊揂搐
qx,舂插擠掐搯
qy,扑拆掛排抃挴攠
r,口
ra,啪唱嗜嘈踏嚐嚕躇咰唶喑喈喒暋噌噆踖噲踳噾蹜蹧蹭躤
rb,吊吶哨唷哺唏啃啼喘喟嘀嘲嘴噙蹄踹嚅蹣蹦肙咂呥咘啢喁嗃嗋嗝嗍踊踃噊嘺踚踽蹁嚆蹐蹢蹛蹻躎
rc,只叭哄趴員巽跡嘛嘖噴踫噸嚇蹟顎躓呬哧唄唭嗛嗊嗔嗩嗿噀嘳嘪踑蹎嚝蹞嚬蹪嚽囋躦
rd,吁呆味呼咪咻哮喋嗓跺跦踝踩噪蹂躁囌吇咮哱唋趶啍啋喿喍嗏嘄踍踘蹀躒
re,吸吱呶唆啜跛噯踱唚啵跂趿喥嗄嗖敯踆嘬踙踧踜嚄嚃嚘嚗蹳躞躩躨
rf,啖啾嗦嗎嗚嗉鳴嘹嘿噤鵑嚥鷺吙吥噅喣嘕嘌嘁嘸踿鴞嚓蹠鶚鷕鷤
rg,吐呈哇哩唯喔喱踵雖躍囉躪吜咥唑唃啀喤跓跬跮跧嗺踛踓噰嚁嚜蹚囃嚾躔躣
rh,叨吩吻吵呀嘐踢咇唦哤喭跈踄噦踼
ri,吋吆咐哦喲嗤戢嘎嘰踐戰蹲嚼躅囀躊囈囑吰呔呿呣呤哷趵跗嗕跱噂噚噣蹡嚵囆躕
rj,啤喃單嗥嗶嘩蹕囁躡吘呯咡咠哻啐啅啈斝嘝嗹嘽嘾踤踔噿蹥
rk,吳吠咬哎咽咿哭唉哽唳喚喉喫跋嗅跤嗾嗷噢蹊獸嚴吷呅哅敃趹嗼噉噳噭躈
rl,叩叫听呻呷哪唧郢啣鄂嘟鄙嘶躑吤哳郘啷喌喕鄖斲鄲鄳鄵
rm,叼呸咀啞趾喧喳唾嗟嗡噓蹉蹋呁咁呾呠呧咺唌跙嘒嘓蹅嚦躖
rn,叮吃別吭吟咒咦咧哼喇喻嚀刡咑咈哆唎趷唰嗲跠跢嘜劋踰
ro,呎吹足呱咳啄趺喙跌跳嗽嘆噗噱噬嚎嚏蹤蹼蹶咷唗哫唊啶啑唻跿踀噘踕噞噷踶蹝躆
rp,叱民吒呢唸跎嗯愍噫嚨吪呡咾呲跜跐跩跽噁踗蹗躘
rq,咩躂吽哖哞唪喡跘噠蹸躌
rr,呂呵咖咕品哈咯唁唔啊啁喀喊跆嗣嗆路嘔跼嘻踟踞器囂呫呴咍咭哃咶唅哠啥喏喎跍跖跏跕嗐嗒跲嘂碞踣踮踦蹌嚚
rs,另叻咋勛距跨嘮踴呺呦咢嗙
rt,啦跚嗑噎蹬呏哢趼啽跇嗌嗢跰嚍嚂嚧
ru,巳兄吧呃吮吼邑咄咆咱啕唬跑號跪踡蹺蹴吨唈唴唵啒唲跁喨喦嵒嗈嗂跣黽嘧睯踂噈嘵踠氉嚙嚫躚囓鼉
rv,喝喂跟嘍噥噶嚷嚶饕哏哸唼喓啿踉踥踒噮踸蹍辴囅躐躟囔躥
rw,哂噹唒喵跴踾蹓蹯躝
rx,啗嘯蹈躋喢嚌蹖嚪
ry,咚啡嗨唹跅踇
s,尸
sa,屠習層職馹鬊鬐騽驓鬙鬠
sb,匝帚屑匾腎髯臂臀騙鬍驕屌聃幦翯駽髾屩鬅鬌鬗驈驨
sc,匹咫匱賢駟頤翼鑒鬚鬢驥屄頨鋻頵聵賾贀騏顟鬒鬑屭驞顳
sd,屎屘孱馳檗匜棸屧髹駼騍糪騥驏驧
se,尿取屐馭殿履毆駿翍馺敺翪髲駸騄騢騣騪鬘
sf,耿馬熙緊熨鬃騵驃騾鷗焄焣鳭翞鳲鴄燛繄翵屪鵋鵘繴镽鶋鶌鶠鷚鷖鷵黳鷿鸐驠驫
sg,匡屆屋堅匯聖翟駐壁朢壂駤駩髽騅雡騜匷驖驩
sh,刀劈匢翂髟翏駜駗髳駹鬄驂鬖
si,刃尉聆尋戮駙戳璧鬆騷屬耾馰蜸駖瑿螶颿飁騩
sj,耳辟翠聶驛屖聑馯匰翬駍駬駥髶翴騂駻髼騲驆騿驔驊驒
sk,尹改馱駁駛髮翇镺駃駇翭聧駮駰騃騤騱鬕驐
sl,匠臣匣那邵耶郡聊郾馴鄹邔卲翀郰聏臦鄝馽鄩臩駷斸
sm,刁羽翳羾聇聝聜駓駔髬聬騸騹驉驙
sn,刷甌尻匟刵耵耹剭匭聤鬁甓騚鬋鬎聹
so,尺臥聚歐駭驗驟翐镻翜屣翨駣毉騋騛騠躄
sp,尼屁忌忍屍恥慝慰駝髭聰聽驪馲憵騉騬驄
sq,犀群肆擘羼掔犚騝驎
sr,召司叵君局居匿區聒駒駱髻臨騎譬驅匼屙翑聐硻駉駘駋髫駧髺駶騇騆聸騧騞
ss,巨劻聘騁劭聈髣駏
st,屏羿屜翌監豎駢聯鹽驢异翋馵匴駴盬
su,己已凹尾兕屈耽髡髦覽驍耴毦毣覗馻髧翫镼髱駪駾騊鬈騶鼊驦
sv,長展娶屢屨褽襞鬣妀匽婜媐嫛翣嬖褧駺騕騔騴鬞鬟驤鬤
sw,醫屇駎髷騮
sx,驌
sy,匪屝騑
t,廿
ta,昔荀曹普著暮蓿薯藉藷菖萻萶萫蓍薈鞜藸蘵
tb,芾苒朔莆期菁萌萬蒂葫葡幕蒿蓆蒲鞘藕芮苪冓茦莔莃莦菕菺黹萭萹蒴蒚蒱蓇蒨蔏蔕蓪蓨蕅蕀蕑蕱蕎鞙薃薖薷薾藡黼羺蘛蘥蘬
tc,共並其典兼黃蘋鑿萁菳萯蓂蒹蔩頩蕡蕆蕢蕦薕薠薋蕻蕷羵藇藚藬顜藾顢蘱韇顴
td,芋某荐茶茱荸荼孳棻菌菊菜業葉葆檠鞠鞣藥孽藻蘇蘗芓茠莩莯菋菻葹葇槊蒤蓁蒢鞂蔝蓧蕖蔾鞢蘪蘜
te,芟芰菠菱菽菔葭蔓蔆蕞叢藤夔芨苃羖羕莍荾莈菆菣菡菉皵羧萲葰葠葮靸蓌蒰蒑鞁蔻蔎蔱蔋蕧蕔薣蕸薆薐藙藜藑蘉羻韄
tf,芣羔荻煎蒜蒸蓀蔗蔡燕蕉蕪薰薦鞦鵲驀蘸驚韉鸛苂苶菼蒍萰萩綦蒝蓔羰蔫蔈蔒蔂蔦羱蕮蕠蕬鵧鴱藀藄蘤薸爇藨鯗蘌鶜鶿鶧蘩鶼鷁鷋蘻韅鷷鷰鷬鷨虆鸏
tg,荏荃基羞莊塑董墓鞋薹難藺蘿芏茌茥荎茬莝莛莥萑雈葟蒮蓷蓶蕫蕥薙蕹黈藋薶雚藿蘣蘳蘲蘺虇
th,芽芬茅茂剪莎蕩芀芴苾羒莏菞蒶蓼蔘蕛黺薚薉虋
ti,芍芸苓茲羚尊菟戡義對蒐蔚蔭蔑蔣薄繭藝丼芃芄刱芶苻苰苺茷茧莪菘菂蛬靮葑葯蒬蒪蓐蒔鞃蓻蓺蓴蓾蕓蕁蕺薎薅蕶薵薱蟴藱蠆蟼蠤鞿蘶蠲飌
tj,卅茉革茸草莘萃萍華斟葷蓮蓬蕈薜薛芊苹茙茿莗羢萆靬葞葺萳輂斠蓒靺蔊蓽斢蕇鞞藫蘀
tk,艾美英茵莫奠散敬猷葵鞅蔽薇鞭羹藪芠芛芵芺茇茭荍茯菝葖葔蒺蒛蓛蔟蔜薁薂黻藈藢蘞
tl,芹芥茆斯鄞鄭鄴薪邯郱茞荋斮菥鄀靳靷鄚斳蔀蔪蓹鄯薌薡鄸酀鄿蘄鞹酄
tm,甘芷苯酋差莖翔萱蓊靼薑薩羶韁芢苴苤茳荁堇羝荺莚菹菧菫萓羥葅菙葒蒫蒻蒩靻翦蔧蓳蔖蔮蕤薤鞚馘藶蘙虀虃
tn,前苧荊瓶莉夢甍薊艼艽芎苀芧芞芩茀剒荑茢茤荇羜羛荶靪羠莿菿菛葶葥萷萴靲蒯羭蕍薴薽藅藭藰蘅蘮
to,芝芙茨莢欺萊菰萸羨歉蒙歎蕨躉歡芡羑苬苡苵荄荴莁莰羡萣萐菮歁蓏蓗蔌蓫蓰蓯蔙薟藃藂薿鞮羷藗蘧躠臡
tp,花芯恙恭慈惹靴慕蔥蕊蕙薨芅芘苨苠荖茈莣荵惎菎菾葸葾愬蓖蒠蔍蕄懃憼薏薧懟藘藣藯蘢蘟戁
tq,羊葦摹擎蘚韃拲荈菶葎蒘靽蕣蕼薢薘藆鞬藦
tr,苛苦茄若苔苟茴茹茗莒荷善菩菅落萵蓉蓓蒼蘑警茍苕苫茼茖茩荅莕莙菏菇菪菬萿葀葴葋蒟蓎蒧鞀羬蓲諅鞊鞈蕗薝鞝鞫藲藞鞳蘁蘦虈碁
ts,芳苣荔勒勘莠募勤萼羲藏勸艿苲苭荂莋荿莇莮菃葧葝葃葂葄蒡靿勱蓩
tt,井并益莽葬蒞蓋藍蘆蘊卌苙荓荳菈萛蓱葐豊靾薀鞡藎鞥蘴
tu,羌芭巷范茁苜苑苞首荒莞莧菴萄葩靶蔬藐覲韆觀芑芫芚芼芤茺茪莐莌艵菀萒菤萉菢靰羦葙蔇萺蓅鞄蔤蔨蔰瞢蕘蕝鞔薍覯氋藽齹虌
tv,芒姜甚茫萋萎萇葛農蓑羯鞍養艱藹茛荌莨荽菨菵蒆葽葚葳葌蒎葨蒗蔉蔞鞎蕵薞薳藒鞨鞻蘘蘡蘹蘾
tw,曲苗蓄蔔蕃蕾薔藩蘭苖茜莤菑菄菗蒏葍蔯蕕羳藟蘠
tx,蕭舊薺萏
ty,莓菸菲芐苳蔠蘼
u,山
ua,岶峋崏嶆嶍嶒嶜
ub,峭崩崙崤嵩峟峬崝嵎崹嵽嶠巂雟巋
uc,嶼嶺顓巔岤崟崸嵿顗巑
ud,崢嶸崞崺嵥嵲嶪櫱糱
ue,岐岌峻岋岥崚嵕
uf,炭祟崇嵨嶕嶚
ug,崖崔峌峚崲嵀嶊嶉巏糶
uh,匕岈岉嵃崵嵺嵾
ui,峙幽峨蚩崧嵐巉巍屻岭嵫崶嵬嶈嵹嶟嶬嶯巀颽巇蠥
uj,岸峰峷崋崥崒嵙輋嶂嶧嶭
uk,凶嶽巖岆岟敳獃巘
ul,耑嶄屮岓岕岬峏酆酅
um,崆嵯岯岨峘嵼
un,屹岑凱剴岒岪峛峓剬崳崱嵉剻
uo,峽崁嵌嶔豳峐崨崍崼歂嵷嶡嶮嶷
up,岷崑岮峔鬯崽嵊巃
uq,嵂嶙嶰
ur,岩峒峪崎嶇岵岣岢岧峉峇峈峆峿峮崌崮嵅嵱嵣嵢巆
us,屴岠岝岰峸崿嶀嶗嶲
ut,豈嶝豐豔岍岦
uu,出兇峴崛崗覬艷屼屺屾艸岏峗峞芔崦嵋茻嶢
uv,崴峖峎崀崣嵁嵑嶁嶱嶩巕
uw,岫崠崰崷嵧嶓
uy,嶵
v,女
va,娼婚絢緒縉縮織繒繪響媎媋絔嬂緡曫
vb,帑娟納婦婿媾絹嫡嫦綿綸嬌締編縞繃妠姌姷姵帤婧婂媦媥媩媏絺綃嫞綪緉嫷縃縎嬭嬬縭繘繑繻孈纗嫺
vc,嫌縑縝嬪績縯繽續鑾娸婰媜嫇嫹嬇嬚縜繢嬾纊纈纘
vd,好她妹紆巢媒彙綑綵嫻槳樂繅孿姀孥姝婐婇絁媟媬媃絑嫀綍綒嫭綧綝嬠縔縥繰欒
ve,奴妓級媛嫂綾綠綴綬漿線緞緩縵彔娵婈婌婽絿綅嫚嫝緅緮嬡繌繓孇纋
vf,糸災妳絮絲媽嫖嫘嫣綜嫵練駑縲縹繚鷥鸞紑婃婒婛焋媯嫄嫊嫬緂綡嫽嫶縓縤鴢縩鴽嬿繺鶅纁鶨鶭
vg,壯妞妊娃姪娌紐絰維纏妵姾娗紝婬娾紸媓絓絟綎墏緟嬞嬥嬯繀雝纆纙
vh,妙姊娣紗紛緲繆縿妢妼娏紾婸綈絼嫪緆
vi,妁姆戕紂紉約娥紜將絃幾縛嬤繈繼蠡纔蠻妘妐妶姈紈紘娹紶紨媸媿媷嫥縟嬦縳螿繜蠁孎蠿
vj,奸婢絨綽嬋緝緙縫繹奷妦妺娀紏婞婥婩婻媶嫜綷綼嫴嬅緷縡繂縪縺繟
vk,收妖狀姣姻奘娛紋紱絞嫉嫩獎緻繳變妏姎紁奊娭紎紻媄絪媺綆嫫綟緛緶緱嬓縸繖嬽奱孍
vl,糾娜姬紳鄉綁緬斷凵妎妡妽斨紃娕紖紒媔絒綀鄛
vm,姐姓紅組經綞纖爿丱妅姏妲姃姮娙婭紺絊娷媗嫋緎綖嫿緪嬗嬔縒繣繵孅
vn,妤弩姨紇剝紼婷剿彎妗糽姼娳紓紟紵媮媊絎緰嬣嬼劙
vo,以姒姚嫁綻緣緹縱彖娖婕婝紩媞絘絯絩嫙嫨緁嬐疀縼繉縰繸纀臠
vp,妣妮姥怒恕紕紙媳媲總戀奼婖紽彘絏嫕緄緦嬨繐繶孋纚
vq,姅絆絳緯縴攣姩拏挐牂繗繲繨
vr,如姑始婀紹媧結絡給嫗綰綺綢嬉緘嚮繕轡姁妱姡姞姶姤姛姳姠牁娮砮婠婟婤婄婍絅絇紿婼絧嫆綌絽嫟牄綹嫸緺縋縖繾
vs,幻奶幼努妒妨娉紡勦姖姱嫮縍
vt,妍姍姘紲媼縊彞媕絣盝嬁縕嬧盭纑
vu,妃紀娓娩純邕婉統絀媚絕綱嬈縐繞繩孀巒纜奾妧姺姽娊紞紌婘婗媢絖媱媰絻綄綣綯綩緗縌矕
vv,妝姦娘娠婊綏裝網嬝縷孃饗纓奻姲娞婑媴緀緌嬛縗繷繯孌纕
vw,妯細緇畿牆嬸繙醬甾紬媌媹嬏緧嬙
vx,繡嫍縚
vy,終緋
w,田
wa,署黯罾
wb,囿胃圃囧圊圇圌罥羃
wc,四異貫買圓顆黷圚顒黰
wd,囝困果囷罦罧罺櫐圞
we,畈畟敤畯畷罬斀
wf,累黑罵鴨羈罘羆黥纍鷝鷶羉鸅鸀鸓
wg,里畦墅墨罹壘羅罜罣畽罿黫壨
wh,囫畛罞黲
wi,母禺蜀團疇囹畤罻
wj,毋圉畢睪罩毌圛罼
wk,因畎畋默斁奰
wl,甲甽界畀
wm,國置疊畇罡罝罭黚翾
wn,野夥罰黔囥町罽黟
wo,囚眾歜圂欭罛
